Plant Name Unit Number,NRC Reactor Unit Web Page ,Docket  Number,NRC Region,Licensee,Reactor and Containment Type,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
Palisades Nuclear Plant,Palisades,5000255,3,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,14-Mar-67,21-Feb-91,31-Dec-71,17-Jan-07,24-Mar-31,2565.4,"AEC issued a provisional OL on 003/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",86%,85%,74%,96%,92%,90%,99%,,79%,92%,95%
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,5000528,4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,25-May-76,1-Jun-85,28-Jan-86,21-Apr-11,1-Jun-45,3990,,90%,85%,100%,83%,81%,101%,86%,,63%,85%,97%
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,25-May-76,24-Apr-86,19-Sep-86,21-Apr-11,24-Apr-46,3990,,90%,91%,90%,91%,101%,83%,74%,,82%,92%,72%
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,5000530,4,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,25-May-76,25-Nov-87,8-Jan-88,21-Apr-11,25-Nov-47,3990,,101%,79%,88%,97%,89%,83%,97%,,84%,75%,88%
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,5000277,1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,31-Jan-68,25-Oct-73,5-Jul-74,7-May-03,8-Aug-33,3514,,88%,100%,88%,101%,92%,102%,89%,,98%,91%,95%
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,5000278,1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 4,BECH,BECH,31-Jan-68,2-Jul-74,23-Dec-74,7-May-03,2-Jul-34,3514,,103%,85%,103%,90%,100%,89%,99%,,91%,102%,91%
"Perry Nuclear Power Plant, Unit 1",Perry 1,5000440,3,First Energy Nuclear Operating Co.,BWR-MARK 3,GE 6,GIL,KAIS,3-May-77,13-Nov-86,18-Nov-87,N/A,18-Mar-26,3758,,96%,73%,92%,79%,98%,67%,98%,,71%,94%,79%
Pilgrim Nuclear Power Station,Pilgrim 1,0'5000293,1,"Entergy Nuclear Operations, Inc.",BWR-MARK 1,GE 3,BECH,BECH,26-Aug-68,8-Jun-72,1-Dec-72,29-May-12,8-Jun-32,2028,,97%,74%,98%,85%,99%,90%,97%,,91%,99%,83%
"Point Beach Nuclear Plant, Unit 1",Point Beach 1,5000266,3,"NextEra Energy Point Beach, LLC",PWR-DRYAMB,WEST 2LP,BECH,BECH,19-Jul-67,5-Oct-70,21-Dec-70,22-Dec-05,5-Oct-30,1800,,90%,84%,100%,79%,88%,98%,87%,,81%,81%,97%
"Point Beach Nuclear Plant, Unit 2",Point Beach 2,5000301,3,"NextEra Energy Point Beach, LLC",PWR-DRYAMB,WEST 2LP,BECH,BECH,25-Jul-68,8-Mar-73,1-Oct-72,22-Dec-05,8-Mar-33,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,90%,93%,89%,67%,96%,84%,89%,,72%,97%,83%
"Prairie Island Nuclear Generating Plant, Unit 1",Prairie Island 1,5000282,3,Northern States Power Co. Minnesota ,PWR-DRYAMB,WEST 2LP,FLUR,NSP,25-Jun-68,5-Apr-74,16-Dec-73,27-Jun-11,9-Aug-33,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,84%,90%,81%,91%,96%,97%,84%,,99%,79%,101%
"Prairie Island Nuclear Generating Plant, Unit 2",Prairie Island 2,5000306,3,Northern States Power Co. Minnesota ,PWR-DRYAMB,WEST 2LP,FLUR,NSP,25-Jun-68,29-Oct-74,21-Dec-74,27-Jun-11,29-Oct-34,1677,,101%,59%,74%,99%,86%,75%,85%,,84%,102%,93%
"Quad Cities Nuclear Power Station, Unit 1",Quad Cities 1,5000254,3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,15-Feb-67,14-Dec-72,18-Feb-73,28-Oct-04,14-Dec-32,2957,,103%,85%,102%,92%,99%,82%,96%,,83%,85%,90%
"Quad Cities Nuclear Power Station, Unit 2",Quad Cities 2,5000265,3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,15-Feb-67,14-Dec-72,10-Mar-73,28-Oct-04,14-Dec-32,2957,,90%,91%,92%,104%,92%,91%,86%,,93%,81%,92%
R.E. Ginna Nuclear Power Plant,Ginna,5000244,1,"R.E. Ginna Nuclear Power Plant, LLC",PWR-DRYAMB,WEST 2LP,GIL,BECH,25-Apr-66,19-Sep-69,1-Jul-70,19-May-04,18-Sep-29,1775,,91%,93%,90%,84%,97%,91%,109%,,92%,99%,89%
"River Bend Station, Unit 1",River Bend 1,5000458,4,"Entergy Nuclear Operations, Inc.",BWR-MARK 3,GE 6,S&W,S&W,25-Mar-77,20-Nov-85,16-Jun-86,N/A,29-Aug-25,3091,,96%,84%,91%,90%,98%,113%,82%,,93%,87%,89%
"St. Lucie Plant, Unit 1",Saint Lucie 1,5000335,2,Florida Power & Light Co.,PWR-DRYAMB,CE,EBSO,EBSO,1-Jul-70,1-Mar-76,21-Dec-76,2-Oct-03,1-Mar-36,3020,,101%,74%,72%,85%,72%,100%,91%,,83%,86%,102%
